feature,importances_mean
num__mileage_num,6710.382107338201
num__cylinders_num,702.9524628904379
num__year_num,536.4167395958802
num__condition,502.4615480049607
cat__make_chevrolet,463.96252692472217
num__fuel,179.64218148115916
cat__make_dodge,140.41298873795532
num__transmission,92.53394170486544
cat__make_ford,82.10542612465875
cat__make_subaru,66.29635278569386
cat__make_bmw,37.43490068732613
cat__make_tesla,21.329388814783215
cat__make_nissan,17.2490769080051
cat__make_chrysler,14.16114499550049
cat__make_gmc,12.559622552448946
cat__make_hyundai,12.474214880061345
cat__make_land rover,4.736092669514574
cat__make_mercedes-benz,3.996301681826617
cat__make_lexus,3.8395038219772686
cat__make_audi,3.2602343616337293
num__title_status,0.83014971463449
cat__make_ram,0.045823819666475175
cat__make_fiat,0.0
cat__make_acura,0.0
cat__make_amc,0.0
cat__make_cadillac,0.0
cat__make_hyundia,0.0
cat__make_hyandia,0.0
cat__make_hummer,0.0
cat__make_honda,0.0
cat__make_freightliner,0.0
cat__make_buick,0.0
cat__make_chevy,0.0
cat__make_infiniti,0.0
cat__make_mercedes,0.0
cat__make_mercedes benz,0.0
cat__make_mazda,0.0
cat__make_maserati,0.0
cat__make_jeep,0.0
cat__make_international,0.0
cat__make_lincoln,0.0
cat__make_infinity,0.0
cat__make_scion,0.0
cat__make_saturn,0.0
cat__make_mercury,0.0
cat__make_mercedez-benz,0.0
cat__make_pontiac,0.0
cat__make_saab,0.0
cat__make_mitsubishi,0.0
cat__make_mini,0.0
cat__make_utilimaster,0.0
cat__make_volvo,0.0
cat__make_suzuki,0.0
cat__make_toyota,0.0
cat__make_vw,0.0
cat__make_volkswagen,-0.14088461788783208
cat__make_kia,-4.849266089310959
cat__make_jaguar,-249.02281516454528
